"gender"	"Age"	"attitude"	"deep"	"stra"	"surf"	"Points"	"deep_adjusted"	"surface_adjusted"	"strategic_adjusted"	"DS"
"67"	"F"	23	3.4	3.41666666666667	4	2.83333333333333	28	0.284722222222222	0.236111111111111	0.5	"1"
"68"	"F"	22	2.5	3.58333333333333	2.875	2.25	22	0.298611111111111	0.1875	0.359375	"1"
"69"	"F"	22	2.1	1.58333333333333	3.875	1.83333333333333	26	0.131944444444444	0.152777777777778	0.484375	"0"
"70"	"F"	22	1.4	3.33333333333333	2.5	2.91666666666667	11	0.277777777777778	0.243055555555556	0.3125	"1"
"71"	"F"	23	1.9	4.33333333333333	2.75	2.91666666666667	29	0.361111111111111	0.243055555555556	0.34375	"1"
"72"	"M"	22	3.7	4.41666666666667	4.5	2.08333333333333	22	0.368055555555556	0.173611111111111	0.5625	"1"
"73"	"M"	23	3.2	4.83333333333333	3.375	2.33333333333333	21	0.402777777777778	0.194444444444444	0.421875	"1"
"74"	"M"	24	2.8	3.08333333333333	2.625	2.41666666666667	28	0.256944444444444	0.201388888888889	0.328125	"1"
"75"	"F"	22	4.1	3	4.125	2.75	33	0.25	0.229166666666667	0.515625	"1"
"76"	"F"	23	2.5	4.08333333333333	2.625	3.25	16	0.340277777777778	0.270833333333333	0.328125	"1"
"77"	"M"	22	2.8	4.08333333333333	2.25	1.75	31	0.340277777777778	0.145833333333333	0.28125	"1"
"78"	"M"	20	3.8	3.75	2.75	2.58333333333333	22	0.3125	0.215277777777778	0.34375	"1"
"79"	"M"	22	3.1	3.08333333333333	3	3.33333333333333	31	0.256944444444444	0.277777777777778	0.375	"0"
"80"	"M"	21	3.5	4.75	1.625	2.83333333333333	23	0.395833333333333	0.236111111111111	0.203125	"1"
"81"	"F"	22	3.6	4.25	1.875	2.5	26	0.354166666666667	0.208333333333333	0.234375	"1"
"82"	"F"	23	2.6	4.16666666666667	3.375	2.41666666666667	12	0.347222222222222	0.201388888888889	0.421875	"1"
"83"	"M"	21	4.4	4.41666666666667	3.75	2.41666666666667	26	0.368055555555556	0.201388888888889	0.46875	"1"
"84"	"M"	22	4.5	3.83333333333333	2.125	2.58333333333333	31	0.319444444444444	0.215277777777778	0.265625	"1"
"85"	"M"	29	3.2	3.33333333333333	2.375	3	19	0.277777777777778	0.25	0.296875	"1"
"86"	"F"	29	3.9	3.16666666666667	2.75	2	30	0.263888888888889	0.166666666666667	0.34375	"1"
"87"	"F"	21	2.5	3.16666666666667	3.125	3.41666666666667	12	0.263888888888889	0.284722222222222	0.390625	"0"
"88"	"M"	28	3.3	3.83333333333333	3.5	2.83333333333333	17	0.319444444444444	0.236111111111111	0.4375	"1"
"89"	"F"	21	3.3	4.25	2.625	2.25	18	0.354166666666667	0.1875	0.328125	"1"
"90"	"F"	30	3	3.83333333333333	3.375	2.75	19	0.319444444444444	0.229166666666667	0.421875	"1"
"91"	"F"	21	2.9	3.66666666666667	2.25	3.91666666666667	21	0.305555555555556	0.326388888888889	0.28125	"0"
"92"	"M"	23	3.3	3.83333333333333	3	2.33333333333333	24	0.319444444444444	0.194444444444444	0.375	"1"
"93"	"F"	21	3.3	3.83333333333333	4	2.75	28	0.319444444444444	0.229166666666667	0.5	"1"
"94"	"F"	21	3.5	3.83333333333333	3.5	2.75	17	0.319444444444444	0.229166666666667	0.4375	"1"
"95"	"F"	20	3.6	3.66666666666667	2.625	2.91666666666667	18	0.305555555555556	0.243055555555556	0.328125	"1"
"96"	"M"	22	3.7	4.33333333333333	2.5	2.08333333333333	17	0.361111111111111	0.173611111111111	0.3125	"1"
